172.68.10.212 - - [18/Mar/2025:23:04:11 -0400] ＂GET /wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.71.184.223 - - [18/Mar/2025:23:05:12 -0400] ＂GET /wordpress/wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.68.10.203 - - [18/Mar/2025:23:28:03 -0400] ＂GET /wordpress/wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
162.158.86.45 - - [18/Mar/2025:23:31:24 -0400] ＂GET /wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.69.136.207 - - [18/Mar/2025:23:51:55 -0400] ＂GET /wordpress/wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.69.136.139 - - [18/Mar/2025:23:54:01 -0400] ＂GET /wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.69.136.207 - - [19/Mar/2025:00:14:56 -0400] ＂GET /wordpress/wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.68.182.4 - - [19/Mar/2025:00:15:36 -0400] ＂GET /wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.71.172.67 - - [19/Mar/2025:00:35:36 -0400] ＂GET /wordpress/wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
162.158.183.82 - - [19/Mar/2025:00:38:47 -0400] ＂GET /wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
172.71.184.233 - - [19/Mar/2025:01:00:29 -0400] ＂GET /wordpress/wp-admin/setup-config.php HTTP/1.1＂ 404 138 ＂-＂ ＂Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36＂
